TICKER,date,piotroski,IvolRET_12Mo,IvolRET_3Mo,Beta_12Mo,Beta_3Mo,AltmanZScore,spread5y,CreditRating,Type__CR,Type__CR14,Type__MM,Type__MM14,Type__MR,Type__MR14,Type__XR,Type__XR14,Sector__Basic Materials,Sector__Consumer Goods,Sector__Consumer Services,Sector__Energy,Sector__Financials,Sector__Government,Sector__Healthcare,Sector__Industrials,Sector__Technology,Sector__Telecommunications Services,Sector__Utilities
ADM,2013-09-30,0,0.15749576134538626,0.17399964705133525,1.1291004993751592,0.9756985899707978,2.067580468,0.007007018,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2013-09-30,0,0.15749576134538626,0.17399964705133525,1.1291004993751592,0.9756985899707978,2.067580468,0.007007018,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2013-09-30,0,0.15749576134538626,0.17399964705133525,1.1291004993751592,0.9756985899707978,2.067580468,0.006887845,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2013-12-31,0,0.17832408579067846,0.2079990229798817,1.0982176755263269,1.065201090924472,2.154015373,0.004760108,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2013-12-31,0,0.17832408579067846,0.2079990229798817,1.0982176755263269,1.065201090924472,2.154015373,0.004760108,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2013-12-31,0,0.17832408579067846,0.2079990229798817,1.0982176755263269,1.065201090924472,2.154015373,0.004689937,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2014-03-31,4,0.1716189940667088,0.1591438256770978,1.066413548081646,0.9887483762752236,2.180396011,0.004446072,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2014-03-31,4,0.1716189940667088,0.1591438256770978,1.066413548081646,0.9887483762752236,2.180396011,0.004446072,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2014-03-31,4,0.1716189940667088,0.1591438256770978,1.066413548081646,0.9887483762752236,2.180396011,0.004371145999999999,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ADM,2014-06-30,9,0.1729084879278279,0.1440284109444506,0.9354817043479172,0.6433327678450321,2.379409768,0.00420584,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
